,risk1_roi,risk2_roi,risk3_roi,risk4_roi,risk5_roi
2020-02-12,11.040291256535426,43.36648292546056,54.03361472577953,62.35595459994565,83.23312634781942
2020-02-13,11.06546408179463,44.1382513866273,55.76738195185368,65.11929420284463,86.5714422689498
2020-02-14,11.090447250649916,44.713411521176425,57.19234580546845,67.43239743496366,89.25926072399417
2020-02-15,11.115445353148715,45.3347928758069,58.73761664698452,69.90960049956851,92.04894135570515
2020-02-16,11.140389878733131,45.539803615532605,59.52446662368223,71.2145158029893,93.43643247733092
2020-02-17,11.16545848150335,45.58412771070931,60.0331727660047,71.85901977442927,94.28874419727234
2020-02-18,11.190557789123716,45.690735921980746,60.73739852405785,72.5234307880236,95.07734896067149
2020-02-19,11.215688306083337,45.84384777414965,61.50004008457793,73.21689039861562,95.7633873709855
2020-02-20,11.240909243587893,45.4085728065628,60.949901998978646,71.96246726570243,94.69612992045643
2020-02-21,11.266253286917035,45.011471623836485,60.3794868193516,70.59207178253845,93.63260474417285
2020-02-22,11.291635577556463,44.552648620580925,59.618835894437325,68.86333539296712,91.98212121976539
2020-02-23,11.317034947861998,44.416540840424204,59.425486933805786,68.13184794018392,91.11005654661517
2020-02-24,11.34237276434763,44.493726695642465,59.66890940077505,68.16197001901148,90.94143200554063
2020-02-25,11.367710874922835,44.47406637053629,59.60701821031111,67.83599528503012,90.42283957270035
2020-02-26,11.393127608341416,43.8624158162018,58.48784401002328,66.08460408170427,88.26830043887657
2020-02-27,11.418630417537287,43.22393136316009,57.32628168408817,64.22074968895265,86.19158215971987
2020-02-28,11.444147778216703,42.58019022043686,56.17993510483572,62.43920687114263,84.41043854988098
2020-02-29,11.4696753328723,41.82598135421961,54.84373550944784,60.409214352257436,82.51116999764548
2020-03-01,11.495206135388628,40.942766409698265,53.29203416859585,58.169059106856196,80.48465986034157
2020-03-02,11.520737492615751,39.80993522112081,51.28300061888214,55.20314475696861,77.63747711700677
2020-03-03,11.546352653629,39.16945519304875,50.1102179368215,53.37450492562331,76.20845014062115
